2024-05-30 17:06:13,061 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Configure stats pid to 4191955
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Loading settings from /mnt/c/gaochao/CODE/BCI/ndt47/wandb/settings
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/mnt/c/gaochao/CODE/BCI/ndt47/train.py', 'program': '/mnt/c/gaochao/CODE/BCI/ndt47/train.py'}
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:_log_setup():520] Logging user logs to /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240530_170613-ugdattlq/logs/debug.log
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:_log_setup():521] Logging internal logs to /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240530_170613-ugdattlq/logs/debug-internal.log
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:init():560] calling init triggers
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:init():610] starting backend
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [wandb_init.py:init():614] setting up manager
2024-05-30 17:06:13,062 INFO    MainThread:4191955 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-30 17:06:13,063 INFO    MainThread:4191955 [wandb_init.py:init():622] backend started and connected
2024-05-30 17:06:13,064 INFO    MainThread:4191955 [wandb_init.py:init():711] updated telemetry
2024-05-30 17:06:13,092 INFO    MainThread:4191955 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-30 17:06:13,800 INFO    MainThread:4191955 [wandb_run.py:_on_init():2396] communicating current version
2024-05-30 17:06:14,054 INFO    MainThread:4191955 [wandb_run.py:_on_init():2405] got version response 
2024-05-30 17:06:14,054 INFO    MainThread:4191955 [wandb_init.py:init():795] starting run threads in backend
2024-05-30 17:06:14,883 INFO    MainThread:4191955 [wandb_run.py:_console_start():2374] atexit reg
2024-05-30 17:06:14,883 INFO    MainThread:4191955 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-30 17:06:14,883 INFO    MainThread:4191955 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-30 17:06:14,883 INFO    MainThread:4191955 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-30 17:06:14,884 INFO    MainThread:4191955 [wandb_init.py:init():838] run started, returning control to user process
2024-05-30 17:16:45,393 WARNING MsgRouterThr:4191955 [router.py:message_loop():77] message_loop has been closed
