2024-06-06 11:06:23,651 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Configure stats pid to 1048555
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Loading settings from /mnt/c/gaochao/CODE/BCI/ndt47/wandb/settings
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/mnt/c/gaochao/CODE/BCI/ndt47/train.py', 'program': '/mnt/c/gaochao/CODE/BCI/ndt47/train.py'}
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:_log_setup():520] Logging user logs to /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240606_110623-7yiihssn/logs/debug.log
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:_log_setup():521] Logging internal logs to /mnt/c/gaochao/CODE/BCI/ndt47/wandb/run-20240606_110623-7yiihssn/logs/debug-internal.log
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:init():560] calling init triggers
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:init():610] starting backend
2024-06-06 11:06:23,652 INFO    MainThread:1048555 [wandb_init.py:init():614] setting up manager
2024-06-06 11:06:23,654 INFO    MainThread:1048555 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-06 11:06:23,655 INFO    MainThread:1048555 [wandb_init.py:init():622] backend started and connected
2024-06-06 11:06:23,658 INFO    MainThread:1048555 [wandb_init.py:init():711] updated telemetry
2024-06-06 11:06:23,693 INFO    MainThread:1048555 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-06 11:06:24,403 INFO    MainThread:1048555 [wandb_run.py:_on_init():2396] communicating current version
2024-06-06 11:06:24,664 INFO    MainThread:1048555 [wandb_run.py:_on_init():2405] got version response 
2024-06-06 11:06:24,664 INFO    MainThread:1048555 [wandb_init.py:init():795] starting run threads in backend
2024-06-06 11:06:25,629 INFO    MainThread:1048555 [wandb_run.py:_console_start():2374] atexit reg
2024-06-06 11:06:25,629 INFO    MainThread:1048555 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-06 11:06:25,629 INFO    MainThread:1048555 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-06 11:06:25,630 INFO    MainThread:1048555 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-06 11:06:25,631 INFO    MainThread:1048555 [wandb_init.py:init():838] run started, returning control to user process
